,ds,y_actual,yhat
435,2018-03-30,6890.52001953125,7777.195
436,2018-03-31,6973.52978515625,7567.109
437,2018-04-01,6844.22998046875,7398.8555
438,2018-04-02,7083.7998046875,7343.2144
439,2018-04-03,7456.10986328125,7407.1924
440,2018-04-04,6853.83984375,7358.2944
441,2018-04-05,6811.47021484375,7293.11
442,2018-04-06,6636.31982421875,7186.173
443,2018-04-07,6911.08984375,7150.404
444,2018-04-08,7023.52001953125,7159.2754
445,2018-04-09,6770.72998046875,7123.9126
446,2018-04-10,6834.759765625,7104.142
447,2018-04-11,6968.31982421875,7118.8403
448,2018-04-12,7889.25,7346.156
449,2018-04-13,7895.9599609375,7574.386
450,2018-04-14,7986.240234375,7787.3374
451,2018-04-15,8329.1103515625,8028.414
452,2018-04-16,8058.669921875,8154.5557
453,2018-04-17,7902.08984375,8190.8193
454,2018-04-18,8163.419921875,8242.438
455,2018-04-19,8294.3095703125,8305.214
456,2018-04-20,8845.830078125,8484.539
457,2018-04-21,8895.580078125,8662.164
458,2018-04-22,8802.4599609375,8789.587
459,2018-04-23,8930.8798828125,8912.398
460,2018-04-24,9697.5,9178.386
461,2018-04-25,8845.740234374998,9210.286
462,2018-04-26,9281.509765625,9293.182
463,2018-04-27,8987.0498046875,9284.426
464,2018-04-28,9348.48046875,9341.24
465,2018-04-29,9419.080078125,9405.029
466,2018-04-30,9240.5498046875,9414.759
467,2018-05-01,9119.009765625,9383.492
468,2018-05-02,9235.919921875,9382.86
469,2018-05-03,9743.8603515625,9506.368
470,2018-05-04,9700.759765625,9620.287
471,2018-05-05,9858.150390625,9753.6455
472,2018-05-06,9654.7998046875,9806.372
473,2018-05-07,9373.009765625,9757.131
474,2018-05-08,9234.8203125,9657.477
475,2018-05-09,9325.1796875,9582.624
476,2018-05-10,9043.9404296875,9462.363
477,2018-05-11,8441.490234375,9219.495
478,2018-05-12,8504.8896484375,9022.276
479,2018-05-13,8723.9404296875,8929.602
480,2018-05-14,8716.7900390625,8890.864
481,2018-05-15,8510.3798828125,8827.35
482,2018-05-16,8368.830078125,8751.855
483,2018-05-17,8094.31982421875,8624.725
484,2018-05-18,8250.9697265625,8553.552
485,2018-05-19,8247.1796875,8504.477
486,2018-05-20,8513.25,8531.479
487,2018-05-21,8418.990234375,8545.898
488,2018-05-22,8041.77978515625,8472.069
489,2018-05-23,7557.81982421875,8288.788
490,2018-05-24,7587.33984375,8125.194
491,2018-05-25,7480.14013671875,7974.1367
492,2018-05-26,7355.879882812499,7833.6963
493,2018-05-27,7368.22021484375,7734.0654
494,2018-05-28,7135.990234375,7619.09
495,2018-05-29,7472.58984375,7610.2046
496,2018-05-30,7406.52001953125,7610.768
497,2018-05-31,7494.169921875,7636.064
498,2018-06-01,7541.4501953125,7675.256
499,2018-06-02,7643.4501953125,7734.467
500,2018-06-03,7720.25,7800.788
501,2018-06-04,7514.47021484375,7804.0264
502,2018-06-05,7633.759765625,7816.6777
503,2018-06-06,7653.97998046875,7825.238
504,2018-06-07,7678.240234375,7837.7256
505,2018-06-08,7624.919921875,7837.6865
506,2018-06-09,7531.97998046875,7819.2456
507,2018-06-10,6786.02001953125,7634.514
508,2018-06-11,6906.919921875,7482.5366
509,2018-06-12,6582.35986328125,7289.4854
510,2018-06-13,6349.89990234375,7085.3193
511,2018-06-14,6675.35009765625,6997.3926
512,2018-06-15,6456.580078125,6907.7627
513,2018-06-16,6550.16015625,6868.199
514,2018-06-17,6499.27001953125,6837.9053
515,2018-06-18,6734.81982421875,6873.568
516,2018-06-19,6769.93994140625,6921.6562
517,2018-06-20,6776.5498046875,6965.329
518,2018-06-21,6729.740234375,6986.4985
519,2018-06-22,6083.68994140625,6853.8066
520,2018-06-23,6162.47998046875,6731.4033
521,2018-06-24,6173.22998046875,6628.2397
522,2018-06-25,6249.18017578125,6570.129
523,2018-06-26,6093.669921875,6506.363
524,2018-06-27,6157.1298828125,6477.844
525,2018-06-28,5903.43994140625,6413.352
526,2018-06-29,6218.2998046875,6428.037
527,2018-06-30,6404.0,6491.0713
528,2018-07-01,6385.81982421875,6553.6465
529,2018-07-02,6614.18017578125,6652.293
530,2018-07-03,6529.58984375,6715.6567
531,2018-07-04,6597.5498046875,6774.2017
532,2018-07-05,6639.14013671875,6820.689
533,2018-07-06,6673.5,6859.3726
534,2018-07-07,6856.93017578125,6925.6475
535,2018-07-08,6773.8798828125,6966.614
536,2018-07-09,6741.75,6989.0576
537,2018-07-10,6329.9501953125,6912.6475
538,2018-07-11,6394.709960937501,6845.9956
539,2018-07-12,6228.81005859375,6750.5977
540,2018-07-13,6238.0498046875,6675.6436
541,2018-07-14,6276.1201171875,6631.2886
542,2018-07-15,6359.64013671875,6625.3413
543,2018-07-16,6741.75,6714.164
544,2018-07-17,7321.0400390625,6934.079
545,2018-07-18,7370.77978515625,7148.36
546,2018-07-19,7466.85986328125,7344.4917
547,2018-07-20,7354.1298828125,7465.0894
548,2018-07-21,7419.2900390625,7549.0903
549,2018-07-22,7418.490234375,7596.919
550,2018-07-23,7711.10986328125,7683.602
551,2018-07-24,8424.26953125,7916.866
552,2018-07-25,8181.39013671875,8077.0312
553,2018-07-26,7951.580078125,8143.8843
554,2018-07-27,8165.009765625,8224.396
555,2018-07-28,8192.150390625,8289.38
556,2018-07-29,8218.4599609375,8342.535
557,2018-07-30,8180.47998046875,8369.042
558,2018-07-31,7780.43994140625,8292.164
559,2018-08-01,7624.91015625,8171.848
560,2018-08-02,7567.14990234375,8049.6045
561,2018-08-03,7434.39013671875,7921.116
562,2018-08-04,7032.85009765625,7731.484
563,2018-08-05,7068.47998046875,7585.4526
564,2018-08-06,6951.7998046875,7458.9277
565,2018-08-07,6753.1201171875,7324.8096
566,2018-08-08,6305.7998046875,7123.9917
567,2018-08-09,6568.22998046875,7010.299
568,2018-08-10,6184.7099609375,6852.0317
569,2018-08-11,6295.72998046875,6747.516
570,2018-08-12,6322.68994140625,6684.046
571,2018-08-13,6297.56982421875,6645.7676
572,2018-08-14,6199.7099609375,6599.409
573,2018-08-15,6308.52001953125,6584.63
574,2018-08-16,6334.72998046875,6586.8467
575,2018-08-17,6580.6298828125,6647.314
576,2018-08-18,6423.759765625,6674.5483
577,2018-08-19,6506.06982421875,6709.928
578,2018-08-20,6308.52978515625,6691.6787
579,2018-08-21,6488.759765625,6704.9697
580,2018-08-22,6376.7099609375,6695.2515
581,2018-08-23,6534.8798828125,6719.0996
582,2018-08-24,6719.9599609375,6783.475
583,2018-08-25,6763.18994140625,6856.9316
584,2018-08-26,6707.259765625,6907.756
585,2018-08-27,6884.64013671875,6981.7783
586,2018-08-28,7096.27978515625,7086.6353
587,2018-08-29,7047.16015625,7167.118
588,2018-08-30,6978.22998046875,7207.113
589,2018-08-31,7037.580078125,7241.4473
590,2018-09-01,7193.25,7297.4214
591,2018-09-02,7272.72021484375,7360.989
592,2018-09-03,7260.06005859375,7409.167
593,2018-09-04,7361.66015625,7467.626
594,2018-09-05,6792.830078125,7387.8633
595,2018-09-06,6529.169921875,7241.064
596,2018-09-07,6467.06982421875,7090.4473
597,2018-09-08,6225.97998046875,6916.5757
598,2018-09-09,6300.85986328125,6792.853
599,2018-09-10,6329.7001953125,6716.659
600,2018-09-11,6321.2001953125,6670.2437
601,2018-09-12,6351.7998046875,6653.973
602,2018-09-13,6517.31005859375,6687.8926
603,2018-09-14,6512.7099609375,6725.181
604,2018-09-15,6543.2001953125,6762.09
605,2018-09-16,6517.18017578125,6784.105
606,2018-09-17,6281.2001953125,6744.3135
607,2018-09-18,6371.2998046875,6714.4146
608,2018-09-19,6398.5400390625,6692.152
609,2018-09-20,6519.669921875,6702.7783
610,2018-09-21,6734.9501953125,6768.327
611,2018-09-22,6721.97998046875,6833.784
612,2018-09-23,6710.6298828125,6888.8643
613,2018-09-24,6595.41015625,6907.5083
614,2018-09-25,6446.47021484375,6877.042
615,2018-09-26,6495.0,6849.671
616,2018-09-27,6676.75,6864.9985
617,2018-09-28,6644.1298828125,6876.8936
618,2018-09-29,6601.9599609375,6880.1084
619,2018-09-30,6625.56005859375,6886.7217
620,2018-10-01,6589.6201171875,6884.2485
621,2018-10-02,6556.10009765625,6873.7217
622,2018-10-03,6502.58984375,6853.271
623,2018-10-04,6576.68994140625,6850.9653
624,2018-10-05,6622.47998046875,6862.6143
625,2018-10-06,6588.31005859375,6867.4697
626,2018-10-07,6602.9501953125,6871.4995
627,2018-10-08,6652.22998046875,6885.1333
